ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
R1,Research,Research snapshot and literature spine,N/A,N/A,n/a,N/A,n/a,Collect the spine references (Quoridor line; solved-games line; certificate line) and lock closest prior work,N/A,0,N/A,Spine list exists with fetch-checked key sources,DONE,0,N/A,yes,Done during paper-from-zero routing; see ../notes/innovation/evidence-links.md; Slatton page and arXiv 2605.22747 fetch-verified 2026-08-02
R2,Research,Evidence-standard landscape (baselines analogue),N/A,N/A,citation,N/A,n/a,Record prior solving approaches and evidence standards in notes/design/baselines.csv (adapted semantics for a game-solving paper),N/A,0,N/A,baselines.csv filled with 6 entries covering competitor/foundational/evidence-standard/anchor categories,DONE,0,R1,yes,Adaptation documented in ../plan/router-decision.md
R3,Research,Positioning and reviewer objections,N/A,N/A,citation,N/A,n/a,Positioning bullets: what changes vs prior work; non-claims; reviewer objections with responses,N/A,0,N/A,At least 3 reviewer objections with responses recorded,DONE,0,R1,yes,In ../brief/contribution-map.yaml (5 objections + risks)
R4,Research,Evidence-pipeline component inventory,N/A,N/A,n/a,N/A,n/a,Inventory all evidence-pipeline components with novelty flags and weaker-replacement analysis in notes/design/method-components.csv,N/A,0,N/A,method-components.csv has 12 components with is_novel and replaceable_by filled,DONE,0,R2;R3,yes,Validated by validate_design_csvs.py after yes/no fix
E1,Experiment,Consolidate 3x9 bounds and replication evidence,Results,C0,experiment,EXP-UB35;EXP-LB33;EXP-UB-9W;EXP-REP-UB;EXP-REP-LB;EXP-REP-9W;EXP-DET,verified,Transcribe archived audit and replication numbers from the two research repos into paper/results/threexnine.csv and the bounds/replication LaTeX tables; every number must match its source artifact path,N/A,0,Bounds audit table + replication comparison table,results CSV exists and every number carries a source path; tables in main.tex match it,DONE,0,R4,yes,threexnine.csv written; tab:bounds matches
E2,Experiment,Consolidate certificate verification receipts,Results,C1,experiment,EXP-CERT-EXH;EXP-CERT-SAMPLE;EXP-CERT-CROSS;EXP-CERT-PROFILE,verified,Transcribe per-part and cross-architecture verification numbers into paper/results/certificates.csv and the verification summary table,N/A,0,Certificate verification summary table,results CSV exists with source paths; table matches,DONE,0,R4,yes,certificates.csv written; tab:cert matches
E3,Experiment,Consolidate stalemate theorem verification,Rules Semantics and the Stalemate Theorem,C2,experiment,EXP-STAL-THM;EXP-STAL-DIVERGE,verified,Transcribe scan coverage and H=2 divergence counts into paper/results/stalemate.csv and the scan coverage table,N/A,0,Scan coverage mini-table,results CSV exists with source paths; table matches,DONE,0,R4,yes,stalemate.csv written; tab:scans matches
E4,Experiment,Consolidate 4x7x7 partial bounds,Frontier Progress on $4\times 7$ Quoridor,C4,experiment,EXP-47-NB;EXP-47-C27,verified,Transcribe 4x7x7 audit numbers into paper/results/fourxseven.csv and its table,N/A,0,Frontier-progress table,results CSV exists with source paths; table matches,DONE,0,R4,yes,fourxseven.csv written; tab:fourseven matches
E5,Experiment,Consolidate ordering races and negative results,Ordering Portfolios and Negative Results,C5,experiment,EXP-ORD-FLOW;EXP-ORD-LAZY;EXP-ORD-REVERSAL;EXP-NEG;EXP-RACE-DICHOTOMY;EXP-SEED;EXP-MLP-PROBE,verified,Transcribe ordering-race node/time numbers; the four negative results and the race dichotomy sweep into paper/results/ordering.csv + race.csv and the ordering table,N/A,0,Ordering race + negative results table,results CSVs exist with source paths; table matches,DONE,0,R4,yes,ordering.csv + race.csv written; tab:ordering matches; race paragraph added per user request; seed-oracle and MLP-probe rows added 2026-08-02 evening (researcher edited main.tex directly; numbers fact-checked independently per NOTE_DU_REDACTEUR)
E6,Experiment,Aggregate certificate acceptance (pending run),Independently Verifiable Certificates,C1,experiment,EXP-AGG18,verified,Await the 18-part qcert-aggregate-1 production verification currently computing on the research PC; on completion transcribe the acceptance receipt and remove the single pending marker via results-backfill,N/A,0,One row of the certificate verification table,Acceptance receipt archived; pending marker replaced by verified numbers,DONE,0,E2,yes,Receipt archived (ok=true; bound 35; 287795827 nodes; 749603013 edges; 30232 s); backfilled 2026-08-02
